Player,Team,AGE,GP,W,L,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Year,累積前三隊,當年有無入選,勝率
Trevor Booker,UTA,27,79,37,42,19.8,7.2,5.9,48.7,1.1,34.5,1.9,58.1,1.8,3.3,5.0,1.1,1.1,0.5,0.5,1.8,16.9,3,0,0.4,2015,0,False,0.47
Quincy Pondexter,NOP,27,75,48,27,23.9,7.2,6.0,42.1,3.3,37.3,1.3,74.0,0.7,1.9,2.6,1.3,0.7,0.3,0.3,2.0,13.2,0,0,0.1,2015,0,False,0.64
Lance Thomas,NYK,27,62,20,42,24.0,7.1,7.1,41.2,0.4,31.8,1.6,72.7,1.0,2.1,3.1,1.1,1.2,0.6,0.1,1.6,13.6,0,0,-5.5,2015,0,False,0.32
Leandro Barbosa,GSW,32,66,54,12,14.9,7.1,5.8,47.4,1.7,38.4,1.1,78.4,0.3,1.0,1.4,1.5,0.7,0.6,0.1,1.3,12.5,0,0,-0.1,2015,0,False,0.82
Jason Terry,HOU,37,77,53,24,21.3,7.0,5.8,42.2,4.2,39.0,0.6,81.3,0.2,1.4,1.6,1.9,1.0,0.9,0.2,1.5,14.1,0,0,1.8,2015,0,False,0.69
John Henson,MIL,24,67,35,32,18.3,7.0,5.2,56.6,0.0,0.0,2.0,56.9,1.9,2.8,4.7,0.9,1.3,0.4,2.0,2.3,19.9,2,0,-1.1,2015,0,False,0.52
Austin Rivers,LAC,22,76,46,30,20.6,7.0,6.5,40.9,1.7,29.8,1.7,67.5,0.4,1.6,2.0,2.0,0.9,0.6,0.2,1.9,14.0,0,0,-1.7,2015,0,False,0.61
Patty Mills,SAS,26,51,37,14,15.7,6.9,6.6,38.1,3.6,34.1,0.8,82.5,0.4,1.1,1.5,1.7,0.7,0.5,0.0,1.1,12.3,0,0,3.0,2015,0,False,0.73
Kevin Garnett,MIN,39,47,20,27,20.3,6.9,6.5,46.7,0.1,14.3,1.0,80.0,1.0,5.6,6.6,1.6,1.0,1.0,0.4,2.3,20.3,3,0,-0.5,2015,9,False,0.43
Jusuf Nurkic,DEN,20,62,21,41,17.8,6.9,6.2,44.6,0.0,0.0,2.1,63.6,2.0,4.1,6.2,0.8,1.4,0.8,1.1,3.3,19.9,4,0,-0.1,2015,0,False,0.34
Will Barton,DEN,24,58,30,28,17.0,6.8,6.1,42.5,1.5,27.1,1.6,78.7,0.4,2.3,2.8,1.4,1.1,0.8,0.3,1.2,14.7,2,0,-0.5,2015,0,False,0.52
CJ McCollum,POR,23,62,37,25,15.7,6.8,5.9,43.6,2.2,39.6,1.2,69.9,0.2,1.2,1.5,1.0,0.8,0.7,0.1,1.3,11.8,0,0,1.9,2015,0,False,0.6
Chase Budinger,MIN,27,67,8,59,19.2,6.8,5.8,43.3,2.1,36.4,1.2,82.7,0.5,2.5,3.0,1.0,0.7,0.7,0.1,1.1,13.5,0,0,-3.9,2015,0,False,0.12
Cory Joseph,SAS,23,79,53,26,18.3,6.8,5.2,50.4,0.6,36.4,1.8,73.4,0.6,1.9,2.4,2.4,0.8,0.6,0.2,1.3,14.8,0,0,2.2,2015,0,False,0.67
Brian Roberts,CHA,29,72,30,42,18.5,6.7,6.3,38.9,2.7,32.1,1.0,89.2,0.2,1.3,1.5,2.3,0.8,0.5,0.1,1.0,12.7,0,0,-1.2,2015,0,False,0.42
Adreian Payne,MIN,24,32,7,25,23.1,6.7,6.9,41.4,0.3,11.1,1.4,65.2,1.5,3.6,5.1,0.9,1.4,0.6,0.3,2.8,15.4,3,0,-7.6,2015,0,False,0.22
Darrell Arthur,DEN,27,58,22,36,17.0,6.6,6.6,40.4,1.9,23.6,1.0,78.0,0.9,2.0,2.9,1.0,0.8,0.8,0.4,2.5,14.6,2,0,-0.2,2015,0,False,0.38
