,Player,Team,AGE,GP_x,W,L,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Year,累積前三隊,當年有無入選,勝率,position,DFG_percent,DIFF_percent,year
111,Frank Kaminsky,CHA,24,75,31,44,26.1,11.7,10.7,39.9,4.7,32.8,2.1,75.6,0.8,3.7,4.5,2.2,1.0,0.6,0.5,1.9,22.5,4,0,0.6,2017,0,False,0.41,C,58.4,2.0,2017
112,Steven Adams,OKC,23,80,47,33,29.9,11.3,8.2,57.1,0.0,0.0,3.2,61.1,3.5,4.2,7.7,1.1,1.8,1.1,1.0,2.4,26.6,16,0,2.4,2017,0,False,0.59,C,55.2,-1.0,2017
113,Marvin Williams,CHA,31,76,32,44,30.2,11.2,9.3,42.2,4.7,35.0,2.0,87.3,1.2,5.4,6.6,1.4,0.8,0.8,0.7,1.8,24.8,11,0,-0.4,2017,0,False,0.42,F,55.6,-0.9,2017
114,Ricky Rubio,MIN,26,75,28,47,32.9,11.1,8.7,40.2,2.6,30.6,3.8,89.1,0.9,3.2,4.1,9.1,2.6,1.7,0.1,2.7,32.6,25,1,-0.1,2017,0,False,0.37,G,62.3,6.2,2017
115,Brandon Knight,PHX,25,54,16,38,21.1,11.0,9.7,39.8,2.6,32.4,2.9,85.7,0.5,1.7,2.2,2.4,1.6,0.5,0.1,1.6,17.4,0,0,-6.0,2017,0,False,0.3,G,65.1,10.4,2017
116,Jerryd Bayless,PHI,28,3,1,2,23.8,11.0,10.7,34.4,1.7,40.0,3.3,90.0,1.0,3.0,4.0,4.3,3.0,0.0,0.0,1.3,19.3,0,0,-7.0,2017,0,False,0.33,G,55.6,1.9,2017
117,Terrence Ross,ORL,26,78,39,39,25.1,11.0,9.6,43.7,5.0,36.3,1.0,83.1,0.2,2.4,2.6,1.1,0.9,1.1,0.4,1.8,19.6,0,0,1.6,2017,0,False,0.5,F,61.3,5.9,2017
118,Thaddeus Young,IND,29,74,40,34,30.2,11.0,9.3,52.7,1.6,38.1,1.2,52.3,1.8,4.3,6.1,1.6,1.3,1.5,0.4,1.8,25.2,7,0,0.9,2017,0,False,0.54,F,57.3,1.2,2017
119,Kent Bazemore,ATL,27,73,39,34,26.9,11.0,9.9,40.9,3.6,34.6,2.3,70.8,0.6,2.5,3.2,2.4,1.7,1.2,0.7,2.3,22.6,1,0,-1.5,2017,0,False,0.53,F-G,48.2,-7.4,2017
120,Emmanuel Mudiay,DEN,21,55,25,30,25.6,11.0,10.0,37.7,3.2,31.5,3.0,78.4,0.5,2.7,3.2,3.9,2.2,0.7,0.2,1.7,21.5,1,0,-2.4,2017,0,False,0.45,G,67.3,13.0,2017
121,Deron Williams,CLE,33,64,25,39,25.9,11.0,9.4,43.8,3.7,36.3,1.7,82.6,0.2,2.1,2.3,5.6,2.2,0.5,0.1,2.2,21.8,3,0,-1.5,2017,2,False,0.39,G,65.6,10.5,2017
122,Justise Winslow,MIA,21,18,4,14,34.7,10.9,12.5,35.6,1.9,20.0,2.6,61.7,1.3,3.9,5.2,3.7,1.8,1.4,0.3,2.9,26.2,1,0,-0.3,2017,0,False,0.22,F,60.0,3.0,2017
123,J.J. Barea,DAL,33,35,11,24,22.0,10.9,9.8,41.4,4.2,35.8,1.5,86.3,0.3,2.1,2.4,5.5,1.8,0.4,0.0,0.9,21.5,0,0,0.3,2017,0,False,0.31,G,64.3,7.9,2017
124,Taj Gibson,OKC,32,78,41,37,25.5,10.8,9.1,51.5,0.2,23.1,2.0,71.5,2.0,4.2,6.2,0.9,1.3,0.5,0.8,2.1,22.4,11,0,0.0,2017,0,False,0.53,F,50.7,-5.6,2017
125,Courtney Lee,NYK,31,77,29,48,31.9,10.8,9.1,45.6,3.5,40.1,1.3,86.7,0.7,2.7,3.4,2.3,0.9,1.1,0.3,1.8,21.6,0,0,-3.0,2017,0,False,0.38,G,67.5,11.1,2017
126,Terrence Jones,MIL,25,54,20,34,23.5,10.8,9.1,47.0,1.4,25.3,3.1,60.6,1.2,4.5,5.7,1.1,0.9,0.7,1.0,1.2,23.6,6,0,-1.1,2017,0,False,0.37,F,54.7,-1.0,2017
127,Marcin Gortat,WAS,33,82,49,33,31.2,10.8,8.2,57.9,0.0,0.0,1.9,64.8,2.9,7.5,10.4,1.5,1.5,0.5,0.7,2.6,27.7,36,0,2.5,2017,0,False,0.6,C,56.0,-0.3,2017
128,CJ Miles,IND,30,76,39,37,23.4,10.7,8.5,43.4,5.4,41.3,1.2,90.3,0.4,2.6,3.0,0.6,0.5,0.6,0.3,2.0,17.6,0,0,1.0,2017,0,False,0.51,F-G,56.1,-0.4,2017
129,Allen Crabbe,POR,25,79,39,40,28.5,10.7,8.2,46.8,3.8,44.4,1.6,84.7,0.2,2.6,2.9,1.2,0.8,0.7,0.3,2.2,17.9,0,0,-1.5,2017,0,False,0.49,G,63.5,8.7,2017
130,Alex Poythress,PHI,23,6,0,6,26.1,10.7,9.0,46.3,3.2,31.6,1.7,80.0,1.8,3.0,4.8,0.8,0.5,0.5,0.3,2.3,19.7,0,0,-6.0,2017,0,False,0.0,F,46.2,-11.3,2017
131,Nikola Mirotic,CHI,26,70,37,33,24.0,10.6,8.9,41.3,5.4,34.2,1.8,77.3,0.9,4.6,5.5,1.1,1.1,0.8,0.8,1.8,22.3,8,0,2.8,2017,0,False,0.53,F,48.2,-6.9,2017
132,Marcus Smart,BOS,23,79,51,28,30.4,10.6,9.5,35.9,4.2,28.3,3.2,81.2,1.0,2.9,3.9,4.6,2.0,1.6,0.4,2.4,26.1,2,0,1.6,2017,0,False,0.65,G,55.3,-0.4,2017
133,Buddy Hield,SAC,24,82,31,51,23.0,10.6,9.4,42.6,4.6,39.1,0.9,84.2,0.4,2.9,3.3,1.5,1.2,0.5,0.1,1.4,17.2,0,0,-2.6,2017,0,False,0.38,G,66.4,10.8,2017
134,Marco Belinelli,CHA,31,74,34,40,24.0,10.5,8.3,42.9,3.8,36.0,2.3,89.3,0.2,2.2,2.4,2.0,0.9,0.6,0.1,1.2,17.6,1,0,0.6,2017,0,False,0.46,G-F,69.9,13.9,2017
135,Wayne Ellington,MIA,29,62,35,27,24.2,10.5,9.0,41.6,6.4,37.8,0.7,86.0,0.3,1.8,2.1,1.1,0.5,0.6,0.1,1.1,16.1,0,0,1.4,2017,0,False,0.56,G,54.9,-0.3,2017
136,Mason Plumlee,DEN,27,81,38,43,26.5,10.4,7.7,53.6,0.1,0.0,3.7,58.0,2.1,5.4,7.5,3.5,1.7,0.9,1.1,2.8,28.9,19,0,0.0,2017,0,False,0.47,C,51.1,-5.7,2017
137,Robin Lopez,CHI,29,81,40,41,28.0,10.4,9.6,49.3,0.0,0.0,1.3,72.1,3.0,3.4,6.4,1.0,1.1,0.2,1.4,1.9,23.4,8,0,0.9,2017,0,False,0.49,C,51.4,-5.6,2017
138,Cody Zeller,CHA,24,62,33,29,27.8,10.3,7.1,57.1,0.0,0.0,3.2,67.9,2.2,4.4,6.5,1.6,1.0,1.0,0.9,3.0,25.3,6,0,3.4,2017,0,False,0.53,C,53.6,-2.8,2017
139,Tyreke Evans,SAC,27,40,17,23,19.7,10.3,9.3,40.5,3.0,35.6,2.3,75.0,0.3,3.1,3.4,3.1,1.5,0.9,0.2,1.5,20.8,0,0,-3.8,2017,0,False,0.42,G-F,57.1,2.2,2017
140,Jon Leuer,DET,28,75,34,41,25.9,10.2,8.6,48.0,2.2,29.3,1.5,86.7,1.4,4.0,5.4,1.5,0.9,0.4,0.3,1.9,20.3,3,0,-1.0,2017,0,False,0.45,F,57.6,1.9,2017
141,Malcolm Brogdon,MIL,24,75,38,37,26.4,10.2,8.5,45.7,2.6,40.4,1.7,86.5,0.6,2.2,2.8,4.2,1.5,1.1,0.2,1.9,22.3,2,1,1.2,2017,0,False,0.51,G,61.1,6.3,2017
142,Draymond Green,GSW,27,76,62,14,32.5,10.2,8.6,41.8,3.5,30.8,2.8,70.9,1.3,6.6,7.9,7.0,2.4,2.0,1.4,2.9,38.0,17,5,10.8,2017,1,True,0.82,F,47.1,-9.1,2017
143,Jusuf Nurkic,POR,22,65,34,31,21.4,10.2,8.2,50.7,0.0,0.0,3.2,57.1,2.4,4.8,7.2,1.9,2.2,0.8,1.1,2.5,25.2,13,0,-0.8,2017,0,False,0.52,C,53.1,-3.5,2017
144,Josh Richardson,MIA,23,53,23,30,30.5,10.2,9.7,39.4,4.3,33.0,1.5,77.9,0.7,2.5,3.2,2.6,1.2,1.1,0.7,2.5,22.3,0,0,0.1,2017,0,False,0.43,G,47.3,-6.9,2017
145,Tony Parker,SAS,35,63,46,17,25.2,10.1,9.0,46.6,1.1,33.3,1.9,72.6,0.1,1.7,1.8,4.5,1.4,0.5,0.0,1.5,19.4,0,0,2.8,2017,4,False,0.73,G,65.4,11.1,2017
146,Kyle Korver,CLE,36,67,33,34,26.2,10.1,7.7,46.4,5.4,45.1,0.6,90.5,0.1,2.7,2.8,1.6,1.0,0.5,0.3,1.6,17.3,0,0,-2.5,2017,0,False,0.49,G,61.4,4.9,2017
147,Yogi Ferrell,DAL,24,46,18,28,26.0,10.0,8.6,40.6,3.8,38.6,1.9,83.1,0.4,2.0,2.4,3.7,1.5,0.9,0.2,2.0,20.4,0,0,-2.5,2017,0,False,0.39,G,69.8,15.2,2017
148,Maurice Harkless,POR,24,77,38,39,28.9,10.0,8.1,50.3,2.5,35.1,1.6,62.1,1.6,2.8,4.4,1.1,1.1,1.1,0.9,2.8,22.0,2,0,0.6,2017,0,False,0.49,F,45.3,-11.1,2017
149,Trevor Booker,BKN,29,71,18,53,24.7,10.0,8.3,51.6,1.1,32.1,1.5,67.3,2.0,6.0,8.0,1.9,1.8,1.1,0.4,2.1,25.1,16,0,-4.7,2017,0,False,0.25,F,53.8,-2.5,2017
150,Gorgui Dieng,MIN,27,82,31,51,32.4,10.0,8.1,50.2,0.5,37.2,2.0,81.4,2.3,5.6,7.9,1.9,1.3,1.1,1.2,3.1,27.7,13,0,0.4,2017,0,False,0.38,F-C,56.7,0.8,2017
151,Shabazz Muhammad,MIN,24,78,29,49,19.4,9.9,7.7,48.2,1.9,33.8,2.4,77.4,1.1,1.7,2.8,0.4,0.7,0.3,0.1,1.1,14.3,1,0,-1.0,2017,0,False,0.37,F,61.0,3.9,2017
152,Jamal Murray,DEN,20,82,40,42,21.5,9.9,8.9,40.4,4.2,33.4,1.5,88.3,0.5,2.1,2.6,2.1,1.4,0.6,0.3,1.5,17.5,1,0,0.9,2017,0,False,0.49,G,59.2,4.2,2017
153,Ty Lawson,SAC,29,69,25,44,25.1,9.9,7.6,45.4,1.7,28.8,3.1,79.7,0.6,2.0,2.6,4.8,1.9,1.1,0.1,1.7,21.9,3,1,-2.3,2017,0,False,0.36,G,63.1,8.6,2017
154,Richaun Holmes,PHI,23,57,16,41,20.9,9.8,7.2,55.8,1.4,35.1,1.8,69.9,1.6,3.8,5.5,1.0,1.0,0.7,1.0,2.4,22.0,5,0,-4.0,2017,0,False,0.28,F,57.0,0.8,2017
155,Jeremy Lamb,CHA,25,62,27,35,18.4,9.7,7.9,46.0,2.4,28.1,2.1,85.3,0.5,3.8,4.3,1.2,0.6,0.4,0.4,1.6,18.4,1,0,-0.6,2017,0,False,0.44,G,66.2,10.1,2017
156,Kenneth Faried,DEN,27,61,29,32,21.2,9.6,6.8,54.8,0.1,0.0,3.1,69.3,3.0,4.6,7.6,0.9,1.0,0.7,0.7,2.0,23.2,11,0,-1.0,2017,0,False,0.48,F,60.9,5.0,2017
157,E'Twaun Moore,NOP,28,73,32,41,24.9,9.6,8.5,45.7,2.8,37.0,1.0,77.0,0.5,1.6,2.1,2.2,0.8,0.7,0.4,1.8,18.0,0,0,-1.5,2017,0,False,0.44,G,55.2,-1.2,2017
158,Patrick Beverley,HOU,28,67,46,21,30.7,9.5,8.1,42.0,4.3,38.2,1.4,76.8,1.4,4.4,5.9,4.2,1.5,1.5,0.4,3.3,26.9,6,0,5.3,2017,0,False,0.69,G,65.2,9.5,2017
159,Derrick Favors,UTA,25,50,33,17,23.7,9.5,8.3,48.7,0.2,30.0,2.2,61.5,1.8,4.3,6.1,1.1,1.2,0.9,0.8,2.1,22.4,6,0,1.1,2017,0,False,0.66,F-C,51.6,-4.1,2017
160,Patty Mills,SAS,28,80,60,20,21.9,9.5,7.8,44.0,4.4,41.4,1.0,82.5,0.3,1.5,1.8,3.5,1.3,0.8,0.0,1.4,18.1,1,0,5.1,2017,0,False,0.75,G,62.5,7.5,2017
161,Nik Stauskas,PHI,23,80,27,53,27.3,9.5,7.9,39.6,4.5,36.8,1.9,81.3,0.3,2.6,2.8,2.4,1.6,0.6,0.4,1.8,17.7,0,0,-2.4,2017,0,False,0.34,G,65.4,9.7,2017
162,Michael Beasley,MIL,28,56,23,33,16.7,9.4,7.3,53.2,0.8,41.9,1.9,74.3,0.7,2.7,3.4,0.9,1.2,0.5,0.5,1.6,16.7,1,0,-0.7,2017,0,False,0.41,F,54.7,-0.9,2017
163,Brandon Ingram,LAL,19,79,26,53,28.9,9.4,8.7,40.2,2.4,29.4,2.7,62.1,0.8,3.2,4.0,2.1,1.5,0.6,0.5,2.0,19.1,0,0,-4.8,2017,0,False,0.33,F,61.7,4.8,2017
164,Ish Smith,DET,28,81,37,44,24.1,9.4,9.2,43.9,1.3,26.7,1.3,70.6,0.3,2.6,2.9,5.2,1.4,0.8,0.4,1.6,22.7,3,0,0.6,2017,0,False,0.46,G,57.3,2.9,2017
165,Cory Joseph,TOR,25,80,49,31,25.0,9.3,8.3,45.2,1.7,35.6,1.5,77.0,0.6,2.3,2.9,3.3,1.4,0.8,0.2,1.8,19.4,1,0,0.5,2017,0,False,0.61,G,57.8,3.9,2017
166,Jeff Green,ORL,30,69,26,43,22.2,9.2,8.1,39.4,2.8,27.5,2.4,86.3,0.6,2.5,3.1,1.2,1.1,0.5,0.2,1.5,15.8,1,0,-4.3,2017,0,False,0.38,F,61.0,4.8,2017
167,Gerald Henderson,PHI,29,72,24,48,23.2,9.2,7.7,42.3,2.4,35.3,2.3,80.6,0.5,2.1,2.6,1.6,0.9,0.6,0.2,1.8,16.0,0,0,-4.3,2017,0,False,0.33,G,61.6,5.7,2017
168,Gerald Henderson,PHI,29,72,24,48,23.2,9.2,7.7,42.3,2.4,35.3,2.3,80.6,0.5,2.1,2.6,1.6,0.9,0.6,0.2,1.8,16.0,0,0,-4.3,2017,0,False,0.33,G,61.6,5.7,2017
169,Marquese Chriss,PHX,19,82,24,58,21.3,9.2,7.7,44.9,2.7,32.1,2.2,62.4,1.2,3.1,4.2,0.7,1.3,0.8,0.9,3.2,19.1,3,0,-4.7,2017,0,False,0.29,F,57.1,0.8,2017
170,Michael Kidd-Gilchrist,CHA,23,81,36,45,29.0,9.2,7.6,47.7,0.1,11.1,2.4,78.4,1.9,5.0,7.0,1.4,0.7,1.0,1.0,2.3,24.8,11,0,-0.1,2017,0,False,0.44,F,54.7,-1.7,2017
171,Joe Johnson,UTA,36,78,47,31,23.6,9.2,8.0,43.6,3.3,41.1,1.0,81.8,0.4,2.7,3.1,1.8,0.9,0.5,0.2,1.2,16.9,0,0,1.5,2017,1,False,0.6,F-G,59.9,4.4,2017
172,Jameer Nelson,DEN,35,75,34,41,27.3,9.2,8.1,44.4,3.6,38.8,0.8,71.4,0.4,2.2,2.6,5.1,1.7,0.7,0.1,2.6,20.7,4,0,1.7,2017,0,False,0.45,G,63.6,7.6,2017
173,Channing Frye,CLE,34,74,44,30,18.9,9.1,7.0,45.8,4.5,40.9,1.0,85.1,0.5,3.4,3.9,0.6,0.7,0.4,0.5,1.9,16.9,2,0,0.8,2017,0,False,0.59,F,55.4,-1.1,2017
174,Montrezl Harrell,HOU,23,58,39,19,18.3,9.1,5.9,65.2,0.1,14.3,2.1,62.8,1.4,2.4,3.8,1.1,0.8,0.3,0.7,2.2,17.7,3,0,1.8,2017,0,False,0.67,F,57.9,1.1,2017
175,Jodie Meeks,ORL,29,36,14,22,20.5,9.1,7.1,40.2,3.8,40.9,2.1,87.8,0.1,2.0,2.1,1.3,1.0,0.9,0.1,1.1,15.7,0,0,-2.8,2017,0,False,0.39,G,63.2,7.5,2017
176,Tony Allen,MEM,35,71,36,35,27.0,9.1,8.4,46.1,0.8,27.8,1.8,61.5,2.3,3.2,5.5,1.4,1.4,1.6,0.4,2.5,22.4,5,0,-0.1,2017,0,False,0.51,G-F,57.3,0.5,2017
177,Kelly Olynyk,BOS,26,75,49,26,20.5,9.0,6.8,51.2,2.6,35.4,1.6,73.2,1.0,3.8,4.8,2.0,1.3,0.6,0.4,2.8,19.4,2,0,0.2,2017,0,False,0.65,C-F,55.7,0.6,2017
178,Evan Turner,POR,28,65,34,31,25.5,9.0,8.5,42.6,1.8,26.3,1.6,82.5,0.6,3.2,3.8,3.2,1.5,0.8,0.4,1.9,20.3,2,0,-2.7,2017,0,False,0.52,G-F,56.3,-0.2,2017
179,Dahntay Jones,CLE,36,1,0,1,12.0,9.0,8.0,37.5,2.0,0.0,4.0,75.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,11.9,0,0,2.0,2017,0,False,0.0,G-F,0.0,-37.3,2017
180,Doug McDermott,OKC,25,66,35,31,22.8,9.0,7.5,44.7,3.2,37.0,1.3,84.5,0.3,2.4,2.7,0.9,0.6,0.2,0.1,1.2,13.8,1,0,-0.4,2017,0,False,0.53,F,59.5,3.4,2017
181,JaMychal Green,MEM,27,77,40,37,27.3,8.9,6.5,50.0,1.9,37.9,2.2,80.2,2.2,4.9,7.1,1.1,1.2,0.6,0.4,3.2,21.0,10,0,-0.4,2017,0,False,0.52,F,51.9,-4.9,2017
182,DeMarre Carroll,TOR,30,72,44,28,26.1,8.9,7.6,40.0,4.4,34.1,1.6,76.1,0.9,2.9,3.8,1.0,0.8,1.1,0.4,2.0,18.7,2,0,1.6,2017,0,False,0.61,F,54.3,-2.8,2017
183,Skal Labissiere,SAC,21,33,9,24,18.5,8.8,6.6,53.7,0.2,37.5,2.2,70.3,1.5,3.4,4.9,0.8,1.1,0.5,0.4,1.9,17.4,2,0,-1.2,2017,0,False,0.27,F-C,59.4,2.6,2017
184,Nerlens Noel,DAL,23,51,24,27,20.5,8.7,6.1,59.5,0.0,0.0,2.2,69.4,1.8,3.9,5.8,1.0,1.0,1.3,1.0,2.5,22.9,3,0,-1.6,2017,0,False,0.47,F-C,51.9,-5.6,2017
185,Al-Farouq Aminu,POR,26,61,33,28,29.1,8.7,7.6,39.3,3.5,33.0,2.2,70.6,1.3,6.1,7.4,1.6,1.5,1.0,0.7,1.7,23.6,4,0,0.4,2017,0,False,0.54,F,52.3,-3.7,2017
186,Marreese Speights,LAC,29,82,51,31,15.7,8.7,6.7,44.5,3.4,37.2,1.7,87.6,1.1,3.5,4.5,0.8,0.8,0.3,0.5,2.8,16.8,4,0,-0.4,2017,0,False,0.62,F-C,59.6,2.8,2017
187,Rondae Hollis-Jefferson,BKN,22,78,19,59,22.6,8.7,6.9,43.4,0.9,22.4,3.2,75.1,1.2,4.6,5.8,2.0,1.5,1.1,0.6,2.3,21.9,8,0,-3.4,2017,0,False,0.24,F,55.2,-1.0,2017
188,JR Smith,CLE,31,41,25,16,29.0,8.6,8.7,34.6,6.6,35.1,0.4,66.7,0.4,2.3,2.8,1.5,0.6,1.0,0.3,1.9,17.2,0,0,1.8,2017,0,False,0.61,G,60.6,4.8,2017
189,Tony Snell,MIL,25,80,42,38,29.2,8.5,6.8,45.5,4.4,40.6,0.7,81.0,0.3,2.8,3.1,1.2,0.7,0.7,0.2,1.6,16.0,1,0,-1.5,2017,0,False,0.52,G-F,57.7,2.5,2017
190,Monta Ellis,IND,31,74,39,35,27.0,8.5,7.5,44.3,1.8,31.9,1.7,72.7,0.3,2.5,2.8,3.2,1.8,1.1,0.4,2.0,19.0,0,0,-1.0,2017,0,False,0.53,G,62.6,7.1,2017
191,Tyson Chandler,PHX,34,47,15,32,27.6,8.4,4.9,67.1,0.0,0.0,2.6,73.4,3.3,8.2,11.5,0.6,1.4,0.7,0.5,2.7,25.4,12,0,-1.6,2017,1,False,0.32,C,53.7,-3.5,2017
192,Arron Afflalo,SAC,31,61,23,38,25.9,8.4,6.9,44.0,2.5,41.1,1.5,89.2,0.1,1.9,2.0,1.3,0.7,0.3,0.1,1.7,13.5,0,0,-4.0,2017,0,False,0.38,G,66.4,9.4,2017
193,Norman Powell,TOR,24,76,47,29,18.0,8.4,6.7,44.9,2.3,32.4,2.1,79.2,0.3,1.9,2.2,1.1,0.9,0.7,0.2,1.7,14.3,0,0,1.1,2017,0,False,0.62,G,62.1,6.8,2017
194,Joe Harris,BKN,25,52,10,42,21.9,8.2,7.0,42.5,4.3,38.5,0.9,71.4,0.3,2.5,2.8,1.0,1.1,0.6,0.2,2.3,14.3,0,0,-5.5,2017,0,False,0.19,F-G,62.1,5.2,2017
195,Troy Daniels,MEM,25,67,33,34,17.7,8.2,7.4,37.4,5.3,38.9,0.8,79.6,0.3,1.2,1.5,0.7,0.7,0.3,0.1,1.3,11.4,0,0,1.3,2017,0,False,0.49,G,55.5,0.1,2017
196,Shawn Long,PHI,24,18,5,13,13.0,8.2,6.1,56.0,1.1,36.8,1.9,54.3,2.3,2.4,4.7,0.7,0.7,0.5,0.5,2.7,17.3,1,0,1.1,2017,0,False,0.28,F,58.2,2.7,2017
197,Caris LeVert,BKN,22,57,15,42,21.7,8.2,6.7,45.0,3.2,32.1,1.6,72.0,0.4,2.9,3.3,1.9,1.0,0.9,0.1,1.6,17.0,0,0,-1.6,2017,0,False,0.26,G-F,56.8,1.5,2017
198,Willy Hernangomez,NYK,23,72,27,45,18.4,8.2,6.5,52.9,0.2,26.7,1.7,72.8,2.4,4.6,7.0,1.3,1.4,0.6,0.5,2.1,20.3,11,0,-0.8,2017,0,False,0.38,C,55.8,-0.4,2017
199,Willie Cauley-Stein,SAC,23,75,29,46,18.9,8.1,6.4,53.0,0.0,0.0,2.0,66.9,1.1,3.4,4.5,1.1,0.9,0.7,0.6,2.0,18.1,8,0,-2.7,2017,0,False,0.39,C,55.8,-1.0,2017
200,Ben McLemore,SAC,24,61,27,34,19.3,8.1,6.9,43.0,2.8,38.2,1.5,75.3,0.3,1.8,2.1,0.8,1.0,0.5,0.1,1.8,12.6,1,0,-2.2,2017,0,False,0.44,G,63.2,6.9,2017
201,Al Jefferson,IND,32,66,33,33,14.1,8.1,7.1,49.9,0.0,0.0,1.3,76.5,1.1,3.1,4.2,0.9,0.5,0.3,0.2,1.9,15.5,1,0,-1.5,2017,1,False,0.5,C,57.5,1.9,2017
202,Tristan Thompson,CLE,26,78,50,28,30.0,8.1,5.6,60.0,0.0,0.0,2.7,49.8,3.7,5.5,9.2,1.0,0.8,0.5,1.1,2.3,24.5,19,0,1.7,2017,0,False,0.64,C,49.9,-6.1,2017
203,Vince Carter,MEM,40,73,36,37,24.7,8.0,6.7,39.4,4.1,37.8,1.6,76.5,0.5,2.6,3.1,1.8,0.7,0.8,0.5,2.2,17.8,0,0,2.2,2017,2,False,0.49,G-F,50.9,-5.4,2017
204,Alex Len,PHX,24,77,21,56,20.3,8.0,6.0,49.7,0.2,25.0,2.7,72.1,2.0,4.6,6.6,0.6,1.3,0.5,1.3,3.1,20.7,11,0,-5.2,2017,0,False,0.27,C,50.0,-6.3,2017
205,Langston Galloway,SAC,25,74,29,45,20.2,7.9,7.4,38.0,4.2,39.0,0.9,79.7,0.4,1.7,2.1,1.3,0.6,0.6,0.1,1.3,13.8,0,0,-0.8,2017,0,False,0.39,G,56.6,2.1,2017
206,D.J. Augustin,ORL,29,78,29,49,19.7,7.9,6.6,37.7,3.5,34.7,2.1,81.4,0.2,1.3,1.5,2.7,1.2,0.4,0.0,1.3,13.8,0,0,-5.7,2017,0,False,0.37,G,65.3,11.2,2017
207,Shelvin Mack,UTA,27,55,34,21,21.9,7.8,6.9,44.6,2.2,30.8,1.4,68.8,0.4,1.9,2.3,2.8,1.6,0.8,0.1,1.8,15.6,0,0,0.3,2017,0,False,0.62,G,57.5,2.4,2017
208,Rajon Rondo,CHI,31,69,34,35,26.7,7.8,8.1,40.8,1.9,37.6,0.7,60.0,1.1,4.1,5.1,6.7,2.4,1.4,0.2,2.1,26.3,6,1,-0.9,2017,1,False,0.49,G,62.0,6.6,2017
209,Sergio Rodriguez,PHI,31,68,24,44,22.3,7.8,7.9,39.2,3.7,36.5,0.4,66.7,0.3,2.0,2.3,5.1,1.9,0.7,0.1,1.4,18.6,1,0,-2.0,2017,0,False,0.35,G,70.5,18.2,2017
210,Garrett Temple,SAC,31,65,25,40,26.6,7.8,6.6,42.4,3.4,37.3,1.1,78.4,0.5,2.3,2.8,2.6,1.2,1.3,0.4,2.2,19.0,0,0,-2.7,2017,0,False,0.38,G,58.0,2.4,2017
211,Justin Holiday,NYK,28,82,31,51,20.0,7.7,6.6,43.3,3.3,35.5,1.0,82.5,0.3,2.4,2.7,1.2,0.8,0.8,0.4,1.3,15.5,0,0,-0.5,2017,0,False,0.38,G,61.3,5.3,2017
212,Matthew Dellavedova,MIL,26,76,39,37,26.1,7.6,7.0,39.0,2.8,36.7,1.3,85.4,0.3,1.6,1.9,4.7,1.8,0.7,0.0,2.0,17.3,0,0,-0.9,2017,0,False,0.51,G,57.7,3.0,2017
213,Luol Deng,LAL,32,56,18,38,26.5,7.6,7.6,38.7,2.9,30.9,1.1,73.0,1.1,4.1,5.3,1.3,0.8,0.9,0.4,1.1,18.8,5,0,-3.5,2017,0,False,0.32,F,62.3,6.1,2017
214,Andre Iguodala,GSW,33,76,64,12,26.3,7.6,5.5,52.8,2.3,36.2,1.3,70.6,0.7,3.3,4.0,3.4,0.8,1.0,0.5,1.3,21.3,0,0,6.9,2017,0,False,0.84,G-F,53.8,-1.9,2017
215,Manu Ginobili,SAS,39,69,51,18,18.7,7.5,6.4,39.0,3.3,39.2,1.6,80.4,0.4,1.9,2.3,2.7,1.4,1.2,0.2,1.7,17.1,0,0,3.7,2017,2,False,0.74,G,52.8,-3.5,2017
216,Ivica Zubac,LAL,20,38,8,30,16.0,7.5,6.3,52.9,0.1,0.0,1.3,65.3,1.1,3.1,4.2,0.8,0.8,0.4,0.9,1.7,16.6,4,0,-3.5,2017,0,False,0.21,C,54.9,-3.0,2017
217,Iman Shumpert,CLE,27,76,48,28,25.5,7.5,6.4,41.1,3.4,36.0,1.2,78.9,0.5,2.4,2.9,1.4,1.0,0.8,0.4,2.0,15.5,0,0,0.6,2017,0,False,0.63,G,57.4,2.0,2017
218,Isaiah Whitehead,BKN,22,73,17,56,22.5,7.4,7.0,40.2,2.0,29.5,1.5,80.5,0.4,2.1,2.5,2.6,1.9,0.6,0.5,2.4,15.7,1,0,-1.6,2017,0,False,0.23,G,54.8,0.9,2017
219,Timofey Mozgov,LAL,30,54,16,38,20.4,7.4,6.1,51.5,0.0,0.0,1.4,80.8,1.9,3.0,4.9,0.8,1.3,0.3,0.6,2.5,15.8,1,0,-3.6,2017,0,False,0.3,C,52.4,-4.1,2017
220,Alan Williams,PHX,24,47,11,36,15.1,7.4,5.7,51.7,0.0,0.0,2.4,62.5,2.0,4.2,6.2,0.5,0.8,0.6,0.7,2.7,18.5,15,0,0.0,2017,0,False,0.23,F-C,49.8,-6.0,2017
221,Archie Goodwin,BKN,22,15,8,7,14.3,7.3,4.4,54.5,1.0,33.3,2.8,78.6,0.5,1.4,1.9,1.6,0.9,0.3,0.3,0.5,12.8,0,0,-2.4,2017,0,False,0.53,G,50.0,-3.0,2017
