,name,game_participate,minutes,pts,FGM,FGA,FG%,3PM,3PA,3P%,EFG%
1600,Miles Bridges,65,30.7,3.8,1.3,3.9,32.7,1.2,3.8,32.9,48.6
1601,Mitchell Robinson,61,23.2,0.0,0.0,0.0,100,-,-,-,100
1602,Miye Oni,10,10.9,1.8,0.6,1.4,42.9,0.6,1.4,42.9,64.3
1603,Mo Bamba,62,14.2,1.9,0.6,1.9,34.2,0.6,1.7,35.6,50.0
1604,Monte Morris,73,22.4,2.1,0.7,1.8,40.0,0.7,1.7,39.8,58.8
1605,Montrezl Harrell,63,27.8,0.1,0.0,0.2,13.3,0.0,0.1,0.0,13.3
1606,Moritz Wagner,45,18.6,1.7,0.6,1.8,31.6,0.6,1.7,32.1,47.5
1607,Moses Brown,9,3.6,0.0,0.0,0.0,-,-,-,-,-
1608,Mychal Mulder,7,29.1,6.4,2.1,7.1,30.0,2.1,7.1,30.0,45.0
1609,Myles Turner,62,29.4,4.8,1.7,4.7,37.1,1.3,3.8,35.0,51.4
1610,Nassir Little,48,11.9,0.7,0.2,1.1,21.2,0.2,1.0,22.0,31.7
1611,Naz Mitrou-Long,5,9.4,0.6,0.2,1.2,16.7,0.2,1.2,16.7,25.0
1612,Naz Reid,30,16.5,3.1,1.0,3.1,33.3,1.0,3.0,33.7,49.5
1613,Nemanja Bjelica,72,27.9,4.8,1.6,3.9,41.3,1.6,3.8,40.9,61.1
1614,Nerlens Noel,61,18.5,0.4,0.2,0.6,31.4,0.0,0.0,50.0,32.9
1615,Nic Claxton,15,12.5,0.2,0.1,0.4,16.7,0.1,0.3,20.0,25.0
1616,Nickeil Alexander-Walker,47,12.6,2.4,0.8,2.0,40.9,0.8,2.0,40.2,60.8
1617,Nicolas Batum,22,23.0,1.6,0.5,1.6,34.3,0.5,1.6,34.3,51.4
1618,Nicolo Melli,60,17.4,3.5,1.2,3.3,35.9,1.1,3.1,35.3,52.3
1619,Nigel Williams-Goss,10,5.0,0.6,0.2,0.7,28.6,0.2,0.7,28.6,42.9
1620,Nikola Jokic,73,32.0,4.5,1.8,4.6,39.2,0.9,2.9,32.5,49.6
1621,Nikola Vucevic,62,32.2,6.9,2.7,6.9,39.0,1.6,4.6,34.0,50.4
1622,Noah Vonleh,36,10.5,0.3,0.1,0.4,21.4,0.1,0.4,21.4,32.1
1623,Norman Powell,52,28.4,5.3,1.8,4.1,43.6,1.8,4.0,44.0,65.2
1624,Norvel Pelle,24,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1625,OG Anunoby,69,29.9,3.4,1.1,3.0,38.2,1.1,2.9,38.2,56.9
1626,Omari Spellman,49,18.1,3.0,1.1,2.7,40.0,0.9,2.1,40.0,56.2
1627,Oshae Brissett,19,7.1,0.5,0.2,0.7,21.4,0.2,0.7,21.4,32.1
1628,Otto Porter Jr.,14,23.6,4.4,1.5,3.8,39.6,1.4,3.2,42.2,57.5
1629,P.J. Dozier,29,14.2,0.6,0.2,0.7,28.6,0.2,0.7,31.6,42.9
1630,P.J. Tucker,72,34.3,4.6,1.6,4.2,37.3,1.5,4.0,36.1,54.6
1631,P.J. Washington,58,30.3,4.1,1.4,3.6,38.3,1.4,3.5,38.5,57.2
1632,Pascal Siakam,60,35.2,3.8,1.3,3.6,37.6,1.2,3.2,36.1,53.8
1633,Pat Connaughton,67,18.6,2.1,0.7,2.2,32.2,0.7,2.2,32.2,48.0
1634,Patrick Beverley,51,26.3,4.1,1.4,3.3,40.8,1.4,3.3,40.8,61.2
1635,Patrick McCaw,37,24.5,1.9,0.7,1.7,40.3,0.6,1.6,36.2,57.3
1636,Patrick Patterson,59,13.2,3.5,1.2,3.1,38.1,1.1,2.8,39.3,56.4
1637,Patty Mills,66,22.5,4.5,1.5,3.8,40.4,1.5,3.7,40.2,60.0
1638,Paul George,48,29.6,5.7,1.9,4.7,41.3,1.8,4.4,41.4,60.7
1639,Paul Millsap,51,24.3,3.2,1.1,2.4,44.7,1.0,2.2,46.4,65.9
1640,Paul Watson,10,8.7,0.9,0.3,0.7,42.9,0.3,0.7,42.9,64.3
1641,Quinn Cook,44,11.5,1.5,0.5,1.3,40.0,0.5,1.2,40.7,60.0
1642,Quinndary Weatherspoon,11,7.1,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
1643,RJ Barrett,56,30.4,2.9,1.0,2.9,33.7,1.0,2.9,33.8,50.3
1644,Rajon Rondo,48,20.5,1.5,0.5,1.3,39.7,0.5,1.3,39.3,58.7
1645,Raul Neto,54,12.4,1.4,0.5,1.0,46.4,0.5,1.0,45.5,68.8
1646,Rayjon Tucker,20,8.1,0.3,0.1,0.6,16.7,0.1,0.6,16.7,25.0
1647,Reggie Bullock,29,23.6,3.8,1.3,3.7,36.4,1.1,3.2,33.7,50.9
1648,Reggie Jackson,31,24.0,3.5,1.2,2.8,40.9,1.2,2.7,42.4,61.4
1649,Richaun Holmes,44,28.2,1.4,0.7,1.2,57.4,-,-,-,57.4
1650,Ricky Rubio,65,31.0,3.2,1.1,2.7,41.0,1.0,2.4,41.0,59.5
1651,Robert Covington,70,30.5,6.2,2.1,6.2,33.5,2.0,6.1,33.0,49.7
1652,Robert Williams III,29,13.4,0.1,0.0,0.1,33.3,-,-,-,33.3
1653,Robin Lopez,66,14.5,1.6,0.5,1.6,33.6,0.5,1.6,34.0,50.0
1654,Rodions Kurucs,47,14.5,1.9,0.6,1.7,36.6,0.6,1.7,36.6,54.9
1655,Rodney Hood,21,29.5,3.7,1.2,2.4,52.0,1.2,2.2,55.3,78.0
1656,Rodney McGruder,56,15.6,1.3,0.4,1.6,28.4,0.4,1.5,27.9,42.0
1657,Romeo Langford,32,11.6,0.5,0.2,0.8,18.5,0.2,0.8,19.2,27.8
1658,Rondae Hollis-Jefferson,60,18.7,0.2,0.1,0.5,14.8,0.1,0.4,13.6,20.4
1659,Royce O'Neale,71,28.9,3.6,1.2,3.1,39.6,1.2,3.0,39.8,59.4
1660,Rudy Gay,67,21.8,3.1,1.1,3.3,34.4,0.9,2.8,30.8,47.5
1661,Rudy Gobert,68,34.3,0.0,0.0,0.1,20.0,-,-,-,20.0
1662,Rui Hachimura,48,30.1,2.2,0.8,2.6,32.3,0.5,1.7,30.1,42.3
1663,Russell Westbrook,57,36.0,1.8,0.6,2.0,31.6,0.6,1.9,29.1,45.6
1664,Ryan Anderson,2,7.0,1.5,0.5,2.5,20.0,0.5,2.5,20.0,30.0
1665,Ryan Arcidiacono,58,16.0,2.2,0.7,1.9,38.5,0.7,1.9,38.9,57.8
1666,Ryan Broekhoff,17,10.6,3.2,1.1,2.8,38.3,1.1,2.8,38.3,57.4
1667,Sekou Doumbouya,38,19.8,2.0,0.7,2.4,28.3,0.6,2.3,27.6,41.3
1668,Semi Ojeleye,69,14.6,2.1,0.7,1.8,38.9,0.7,1.7,38.5,56.7
1669,Serge Ibaka,55,27.0,5.2,2.0,5.1,39.0,1.2,3.1,37.8,50.5
1670,Seth Curry,64,24.6,4.9,1.7,3.4,48.4,1.5,3.2,48.1,71.0
1671,Shabazz Napier,56,24.0,1.8,0.6,1.8,32.7,0.6,1.8,32.7,49.0
1672,Shai Gilgeous-Alexander,70,34.7,1.5,0.5,1.3,40.0,0.5,1.2,41.9,60.0
1673,Shake Milton,40,20.1,3.5,1.2,2.7,43.9,1.2,2.7,43.9,65.9
1674,Shamorie Ponds,4,2.6,0.8,0.3,0.3,100,0.3,0.3,100,150.0
1675,Shaquille Harrison,43,11.3,0.9,0.3,0.8,39.4,0.3,0.8,39.4,59.1
1676,Sindarius Thornwell,2,17.7,1.5,0.5,1.5,33.3,0.5,1.5,33.3,50.0
1677,Skal Labissiere,33,17.2,1.3,0.6,1.2,52.6,0.1,0.3,18.2,55.3
1678,Solomon Hill,59,18.4,2.9,1.0,2.7,36.3,0.9,2.6,35.7,53.4
1679,Spencer Dinwiddie,64,31.2,2.6,0.9,2.3,38.4,0.8,2.2,37.3,56.5
1680,Stanley Johnson,25,6.0,0.4,0.1,0.4,27.3,0.1,0.4,27.3,40.9
1681,Stanton Kidd,4,3.8,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
1682,Stephen Curry,5,27.9,4.0,1.4,4.8,29.2,1.2,4.4,27.3,41.7
1683,Sterling Brown,52,14.7,1.9,0.7,1.8,35.8,0.6,1.8,36.3,53.2
1684,Steven Adams,63,26.7,0.6,0.3,0.4,64.3,0.0,0.0,50.0,66.1
1685,Svi Mykhailiuk,56,22.6,5.1,1.7,4.1,41.9,1.7,4.0,42.0,62.7
1686,T.J. Leaf,28,7.9,0.5,0.2,0.7,25.0,0.2,0.6,29.4,37.5
1687,T.J. McConnell,71,18.7,0.4,0.2,0.3,50.0,0.1,0.2,41.7,61.4
1688,T.J. Warren,67,32.9,4.1,1.5,3.4,43.3,1.2,2.9,40.8,60.2
1689,Tacko Fall,7,4.6,0.0,0.0,0.0,-,-,-,-,-
1690,Taj Gibson,62,16.5,1.0,0.5,1.1,42.9,0.1,0.2,30.8,45.7
1691,Talen Horton-Tucker,6,13.5,1.0,0.3,1.2,28.6,0.3,1.2,28.6,42.9
1692,Tariq Owens,3,5.1,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.0
1693,Taurean Prince,64,29.0,5.3,1.8,5.1,35.1,1.8,4.9,35.8,52.5
1694,Terance Mann,41,8.8,0.4,0.1,0.4,29.4,0.1,0.4,33.3,44.1
1695,Terence Davis,72,16.8,3.1,1.0,2.5,41.2,1.0,2.5,41.1,61.5
1696,Terrance Ferguson,56,22.5,2.7,0.9,3.0,30.4,0.8,2.9,29.2,44.3
1697,Terrence Ross,69,27.4,6.6,2.3,6.2,37.4,2.0,5.3,37.1,53.1
1698,Terry Rozier,63,34.4,5.1,1.7,3.7,45.8,1.7,3.7,45.9,68.2
1699,Thabo Sefolosha,41,10.6,1.0,0.3,1.3,26.4,0.3,1.2,27.5,39.6
1700,Thaddeus Young,64,24.9,3.5,1.2,3.2,37.1,1.2,3.1,37.2,55.4
1701,Thanasis Antetokounmpo,20,6.4,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
1702,Theo Pinson,33,11.1,0.6,0.2,1.2,18.4,0.2,1.2,18.4,27.6
1703,Thomas Bryant,46,24.9,3.7,1.5,3.3,44.7,0.7,1.7,42.5,56.0
1704,Thon Maker,60,12.9,1.2,0.5,1.3,36.0,0.3,1.0,33.3,49.3
1705,Tim Frazier,27,13.1,0.8,0.3,0.6,47.1,0.2,0.5,42.9,64.7
1706,Tim Hardaway Jr.,71,29.5,6.3,2.1,5.1,41.8,2.1,4.9,42.1,62.1
1707,Timothe Luwawu-Cabarrot,47,18.1,3.8,1.3,3.2,39.7,1.3,3.2,39.3,59.3
1708,Tobias Harris,72,34.3,4.5,1.6,4.0,39.2,1.4,3.7,38.0,56.6
1709,Tomas Satoransky,65,28.9,2.6,0.9,2.6,33.1,0.8,2.6,32.9,49.1
1710,Tony Bradley,58,11.4,0.2,0.1,0.1,100,0.1,0.1,100,150.0
