,消費者物價基本分類指數,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,單位：民國105年=100,,
統計期,總指數,年增率(%),一.食物類,年增率(%),二.衣著類,年增率(%),三.居住類,年增率(%),四.交通及通訊類,年增率(%),五.醫藥保健類,年增率(%),六.教養娛樂類,年增率(%),七.雜項類,年增率(%)
105年12月,100.34,1.69,100.96,4.45,102.52,0.62,99.64,-0.39,101.35,2.59,100.42,0.88,99.25,0.27,99.81,1.18
106年,100.62,0.62,99.63,-0.37,99.76,-0.24,100.86,0.86,101.81,1.81,101.71,1.71,100.29,0.29,101.9,1.9
106年1月,100.32,2.24,98.94,2.97,97.73,0.16,99.9,0.01,102.17,4.7,100.45,0.96,100.8,1.81,103.85,5.8
106年2月,99.96,-0.06,99.34,-0.75,94.71,0.26,99.95,0.06,102,4.21,100.83,1.33,100.12,-1.48,100.4,-3.07
106年3月,99.59,0.18,98.32,-1.73,93.89,0.4,100.11,0.19,101.67,2.85,101.2,1.44,99.57,0.47,100.68,1.27
106年4月,99.83,0.1,97.38,-2.41,104.12,-0.82,100.15,0.96,101.6,2.37,101.62,1.47,99.98,0.24,101.42,1.96
106年5月,99.94,0.59,97.95,-0.04,102.86,-0.24,100.18,0.99,101.16,0.59,101.95,2.01,99.95,0.29,101.82,1.8
106年6月,100.7,1,99.9,2.19,101.05,0.35,101.65,0.95,100.69,-0.43,102,2,100.23,0.52,100.48,0.04
106年7月,100.7,0.77,99.47,1.22,98.19,-0.05,101.66,0.89,100.99,0.1,102,2.08,101.47,0.32,100.4,0.57
106年8月,100.85,0.96,100.14,1.35,95.06,-1.28,101.86,1.1,101.43,1.02,102.06,1.9,101.2,0.37,100.39,0.68
106年9月,100.84,0.49,100.29,-0.2,94.39,-1.26,102.05,1.21,101.66,1.13,102.17,2.1,100.11,-0.14,101.28,0.82
106年10月,101.46,-0.33,101.01,-3.86,107.37,-0.51,100.87,1.29,102.31,1.14,102.03,1.84,100.44,0.12,102.67,3.28
106年11月,101.71,0.34,101.84,-2.68,104.97,-0.12,100.97,1.33,102.99,2.56,102.05,1.66,99.69,0.33,103.99,4.33
106年12月,101.56,1.22,101.02,0.06,102.78,0.25,100.95,1.31,103.07,1.7,102.16,1.73,99.95,0.71,105.41,5.61
107年,101.98,1.35,100.62,0.99,100.05,0.29,101.78,0.91,104.12,2.27,102.78,1.05,100.52,0.23,106.73,4.74
107年1月,101.21,0.89,99.75,0.82,99.56,1.87,100.93,1.03,103.86,1.65,102.24,1.78,99.34,-1.45,105.92,1.99
107年2月,102.16,2.2,100.29,0.96,96.42,1.81,101.02,1.07,104.29,2.25,102.52,1.68,101.94,1.82,109.37,8.93
