年月,港口別,總計,進口貨,出口貨,國內貨
200303,基隆港,3210977,2014413,705767,490797
200303,花蓮港,1815123,502631,330779,981713
200303,安平港,531327,479751,2106,49470
200303,蘇澳港,433024,240434,73040,119550
200303,臺北港,0,0,0,0
200304,國際商港,20898693,14869113,3326570,2703010
200304,高雄港,11353350,8243251,2204239,905860
200304,臺中港,4574585,3837085,370361,367139
200304,基隆港,2880560,1883657,563749,433154
200304,花蓮港,1194296,216259,138308,839729
200304,安平港,493185,452476,2222,38487
200304,蘇澳港,402717,236385,47691,118641
200304,臺北港,0,0,0,0
200305,國際商港,20631150,13599404,3635628,3396118
200305,高雄港,12433486,9059266,2340290,1033930
200305,臺中港,3423852,2557579,407436,458837
200305,基隆港,2591267,1345660,602198,643409
200305,花蓮港,1421740,77501,198047,1146192
200305,安平港,464368,413011,0,51357
200305,蘇澳港,296437,146387,87657,62393
200305,臺北港,0,0,0,0
200306,國際商港,19797461,12991723,3711188,3094550
200306,高雄港,10438460,7229987,2316494,891979
200306,臺中港,4039807,3138116,436060,465631
200306,基隆港,3005583,1823927,693474,488182
200306,花蓮港,1503026,262549,183943,1056534
200306,蘇澳港,442266,217065,79544,145657
200306,安平港,368319,320079,1673,46567
200306,臺北港,0,0,0,0
200307,國際商港,21183293,13764945,3911500,3506848
200307,高雄港,11806191,8244569,2448666,1112956
200307,臺中港,3842984,2898819,480892,463273
200307,基隆港,2954907,1733930,611071,609906
200307,花蓮港,1578435,214174,275236,1089025
200307,蘇澳港,678301,396453,91518,190330
200307,安平港,322475,277000,4117,41358
200307,臺北港,0,0,0,0
200308,國際商港,19287171,12214825,3707084,3365262
200308,高雄港,10274351,6914754,2261042,1098555
200308,臺中港,3807400,2983246,469796,354358
200308,基隆港,2925859,1662322,692377,571160
200308,花蓮港,1524918,194797,186350,1143771
200308,蘇澳港,416233,155406,95592,165235
200308,安平港,338410,304300,1927,32183
200308,臺北港,0,0,0,0
200309,國際商港,20941205,13917964,3919529,3103712
200309,高雄港,12609247,9204608,2526305,878334
200309,臺中港,3378722,2557167,443523,378032
200309,基隆港,2836884,1589961,660599,586324
200309,花蓮港,1413096,80060,180090,1152946
200309,蘇澳港,462009,277668,107189,77152
200309,安平港,241247,208500,1823,30924
200309,臺北港,0,0,0,0
200310,國際商港,20317537,12893684,3896338,3527515
200310,高雄港,11212975,7759180,2459516,994279
200310,臺中港,3762081,2746194,509428,506459
200310,基隆港,3014320,1682575,695030,636715
200310,花蓮港,1592019,219149,122793,1250077
200310,蘇澳港,415602,212986,107766,94850
200310,安平港,320540,273600,1805,45135
200310,臺北港,0,0,0,0
200311,國際商港,21582525,13844930,3807490,3930105
200311,高雄港,12433904,8597589,2414348,1421967
200311,臺中港,3957413,2951388,524031,481994
200311,基隆港,3104325,1760926,668672,674727
200311,花蓮港,1540393,180511,174516,1185366
200311,安平港,310913,242500,4939,63474
200311,蘇澳港,235577,112016,20984,102577
200311,臺北港,0,0,0,0
200312,國際商港,22305497,14036151,4114876,4154470
200312,高雄港,13047776,8888802,2584837,1574137
200312,臺中港,3593506,2424420,605319,563767
200312,基隆港,2947015,1715964,627732,603319
200312,花蓮港,1860323,351466,231349,1277508
200312,蘇澳港,517735,379193,61272,77270
200312,安平港,339142,276306,4367,58469
200312,臺北港,0,0,0,0
200401,國際商港,19889177,11710637,3716478,4462062
200401,高雄港,10953111,7350606,2354867,1247638
200401,臺中港,3610355,2553105,571452,485798
200401,基隆港,2571348,1347509,553034,670805
200401,花蓮港,1601227,169544,157936,1273747
200401,臺北港,565242,0,0,565242
